pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
914,11,1,2,Left,Right,0,1,0,Undefined,Undefined,Undefined,BallCalled,Fastball,94.16184527,2276.308764,1:30,5.722431526,2.75619065,6.656688021,-17.47135391,12.78198892,12.87509027,2.156401741,1.751870599,0.000408833,NULL,NULL,NULL,NULL,NULL
915,11,1,3,Left,Right,0,2,0,Undefined,Undefined,Undefined,StrikeCalled,Slider,85.17955263,2226.277193,10:00,5.681963177,2.711335135,6.103483767,-36.58805752,1.40406218,-2.47E+00,3.266304243,0.940765982,0.3065615,NULL,NULL,NULL,NULL,NULL
916,11,1,4,Left,Right,0,2,1,Undefined,LineDrive,HomeRun,InPlay,Fastball,93.91731262,2218.316865,1:30,5.65128246,2.663289201,6.64461971,-17.9943565,12.45913085,12.38937147,2.302296748,-0.133792411,0.994595945,106.3383061,20.93736118,7.695385736,418.1981024,7.419901784
917,11,2,1,Left,Right,0,0,0,Undefined,Undefined,Undefined,BallCalled,ChangeUp,83.13210383,1600.788489,2:30,5.746232578,2.88100015,6.106027209,-34.86818016,4.833086959,1.71E+01,4.30E+00,2.098631292,3.77E-06,NULL,NULL,NULL,NULL,NULL
918,11,2,2,Left,Right,0,1,0,Undefined,Undefined,Undefined,StrikeCalled,Slider,85.0292833,2158.633812,10:45,5.688862292,2.770773841,6.009058882,-37.38773368,0.732500732,-0.571689861,2.355753288,0.830900493,0.918624818,NULL,NULL,NULL,NULL,NULL
919,11,2,3,Left,Right,0,1,1,Undefined,Undefined,Undefined,BallCalled,ChangeUp,82.62190898,1631.129805,2:45,5.648633429,2.877535419,6.134205764,-36.63082937,3.37015644,18.89476066,2.799854467,2.018686466,0.000109786,NULL,NULL,NULL,NULL,NULL
920,11,2,4,Left,Right,0,2,1,Undefined,Undefined,Undefined,BallCalled,Fastball,94.34800514,2293.019604,1:15,5.731122987,2.695267229,6.479965493,-14.12349519,16.16102154,12.02115062,3.003105687,1.447556366,0.000108479,NULL,NULL,NULL,NULL,NULL
921,11,2,5,Left,Right,0,3,1,Undefined,Undefined,Undefined,StrikeCalled,Slider,85.78867575,2128.431814,10:30,5.725692003,2.778058188,6.121824366,-31.74466657,5.613420915,-5.293111068,1.71298532,-0.217207027,0.93271172,NULL,NULL,NULL,NULL,NULL
922,11,2,6,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.73811026,2274.239134,1:15,5.713631263,2.767962809,6.076108633,-16.45719533,14.1269716,11.1614521,2.528684103,0.382161781,0.993683815,77.30986757,42.58133811,-126.8791035,228.4009438,-135.9345795
923,11,2,7,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.19553807,2188.631743,1:30,5.657915238,2.729659998,6.19084512,-17.58213238,13.33697184,13.54654159,2.429235935,-0.250143615,0.991714537,NULL,NULL,NULL,NULL,NULL
924,11,2,8,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.06613663,2367.330887,1:30,5.685688025,2.606511582,6.629279946,-15.41562118,15.24753064,15.46919988,2.828422892,0.636322672,0.950614452,76.23989409,55.50873369,-138.8825333,211.7365239,-145.764499
925,11,2,9,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Slider,86.63283374,2240.67231,11:45,5.640772247,2.734789628,6.159967406,-32.68438375,3.864254614,-0.643242673,1.696392376,-0.594548258,0.66807729,101.3593084,-5.210539356,44.46657285,20.00022748,40.46893105
926,11,2,10,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.27692444,2309.499931,1:30,5.670982988,2.741691879,6.215415296,-17.33838686,13.41872578,13.33102925,2.472138712,0.828529743,0.85940814,78.65717398,20.25533664,-159.950707,184.2013932,-161.6299601
927,11,2,11,Left,Right,0,3,2,Undefined,GroundBall,Out,InPlay,Fastball,93.86578552,2377.080723,1:15,5.646269802,2.792152798,6.332114403,-15.83735498,15.13635789,1.23E+01,3.086732718,0.939886007,0.184854105,81.93282483,-34.65036173,12.51994636,5.950066909,1.343021359
928,11,3,1,Left,Right,1,0,0,Undefined,Undefined,Undefined,BallCalled,Curveball,79.98221597,2368.833363,7:00,5.63415165,2.734459728,5.721653881,-61.00422484,-16.64635693,-8.90E+00,0.831856832,0.421464943,0.00037178,NULL,NULL,NULL,NULL,NULL
